Piemonte Calcio,Cristiano Ronaldo,Serie A TIM,Portugal,98,ST,TOTY,7.44M
FC Bayern,Robert Lewandowski,Bundesliga,Poland,98,ST,TOTY,1.82M
FC Barcelona,Lionel Messi,LaLiga Santander,Argentina,98,RW,TOTY,3.85M
Paris SG,Kylian Mbappé,Ligue 1 Conforama,France,97,ST,TOTY,6.17M
Manchester Utd,Bruno Fernandes,Premier League,Portugal,97,CAM,TOTY,3.44M
Manchester City,Kevin De Bruyne,Premier League,Belgium,96,CAM,TOTY,1.64M
FC Bayern,Joshua Kimmich,Bundesliga,Germany,96,CDM,TOTY,1.7M
Real Madrid,Sergio Ramos,LaLiga Santander,Spain,96,CB,TOTY,1.59M
FC Bayern,Manuel Neuer,Bundesliga,Germany,96,GK,TOTY,441K
Liverpool,Virgil van Dijk,Premier League,Netherlands,96,CB,TOTY,1.99M
FC Barcelona,Lionel Messi,LaLiga Santander,Argentina,96,CF,LaLiga,POTM
FC Barcelona,Lionel Messi,LaLiga Santander,Argentina,95,CF,TOTGS,1.4M
Piemonte Calcio,Cristiano Ronaldo,Serie A TIM,Portugal,95,ST,TIF,4.23M
Liverpool,Mohamed Salah,Premier League,Egypt,94,RW,UCL,Live
FC Barcelona,Lionel Messi,LaLiga Santander,Argentina,94,CF,IF,830K
Piemonte Calcio,Cristiano Ronaldo,Serie A TIM,Portugal,94,ST,SIF,3.34M
Real Madrid,Karim Benzema,LaLiga Santander,France,94,CF,Headliners,383K
Liverpool,Trent Alexander-Arnold,Premier League,England,94,RB,TOTY,873K
FC Bayern,Robert Lewandowski,Bundesliga,Poland,94,ST,TIF,440K
FC Barcelona,Lionel Messi,LaLiga Santander,Argentina,93,RW,Rare,223K
FC Barcelona,Lionel Messi,LaLiga Santander,Argentina,93,RW,CL,231K
Atlético de Madrid,Jan Oblak,LaLiga Santander,Slovenia,93,GK,UCL,Live
FC Bayern,Robert Lewandowski,Bundesliga,Poland,93,ST,Bundes,POTM
Piemonte Calcio,Cristiano Ronaldo,Serie A TIM,Portugal,93,ST,IF,2.23M
FC Bayern,Robert Lewandowski,Bundesliga,Poland,93,ST,SIF,250K
FC Bayern,Alphonso Davies,Bundesliga,Canada,93,LB,TOTY,1.52M
Liverpool,Sadio Mané,Premier League,Senegal,93,LW,TOTY,Honourable
Derby County,Wayne Rooney,EFL Championship (ENG 2),England,93,ST,Premium,SBC
Real Madrid,Toni Kroos,LaLiga Santander,Germany,93,CM,Flashback,SBC
Manchester City,Kevin De Bruyne,Premier League,Belgium,93,CM,IF,670K
Piemonte Calcio,Cristiano Ronaldo,Serie A TIM,Portugal,92,ST,Rare,705K
FC Bayern,Robert Lewandowski,Bundesliga,Poland,92,ST,IF,154K
Piemonte Calcio,Cristiano Ronaldo,Serie A TIM,Portugal,92,ST,CL,710K
Real Madrid,Eden Hazard,LaLiga Santander,Belgium,92,LW,UCL,Live
Manchester City,Kevin De Bruyne,Premier League,Belgium,92,CM,TOTGS,355K
Liverpool,Sadio Mané,Premier League,Senegal,92,ST,FUT,Freeze
Manchester Utd,Bruno Fernandes,Premier League,Portugal,92,CAM,PL,POTM
Real Madrid,Karim Benzema,LaLiga Santander,France,92,CF,TIF,170K
Paris SG,Neymar Jr,Ligue 1 Conforama,Brazil,92,LM,IF,1.78M
Liverpool,Mohamed Salah,Premier League,Egypt,92,RW,SIF,945K
FC Barcelona,Ansu Fati,LaLiga Santander,Spain,92,ST,FUT,Future
Dortmund,Jadon Sancho,Bundesliga,England,92,RM,What,If
Atlético de Madrid,Jan Oblak,LaLiga Santander,Slovenia,92,GK,IF,146K
Paris SG,Kylian Mbappé,Ligue 1 Conforama,France,92,LW,Ligue,1
Manchester City,Kevin De Bruyne,Premier League,Belgium,91,CAM,Rare,109K
FC Bayern,Robert Lewandowski,Bundesliga,Poland,91,ST,Rare,109K
Paris SG,Neymar Jr,Ligue 1 Conforama,Brazil,91,LW,Rare,480K
Atlético de Madrid,Jan Oblak,LaLiga Santander,Slovenia,91,GK,Rare,108K
Atlético de Madrid,Jan Oblak,LaLiga Santander,Slovenia,91,GK,CL,108K
Paris SG,Neymar Jr,Ligue 1 Conforama,Brazil,91,LW,CL,480K
Manchester City,Kevin De Bruyne,Premier League,Belgium,91,CAM,CL,114K
FC Bayern,Robert Lewandowski,Bundesliga,Poland,91,ST,CL,112K
Spurs,Harry Kane,Premier League,England,91,ST,Halloween,900K
Arsenal,Aubameyang,Premier League,Gabon,91,ST,UEL,Live
Liverpool,Sadio Mané,Premier League,Senegal,91,LW,IF,420K
Paris SG,Kylian Mbappé,Ligue 1 Conforama,France,91,ST,Record,Breaker
Liverpool,Virgil van Dijk,Premier League,Netherlands,91,CB,Record,Breaker
Liverpool,Mohamed Salah,Premier League,Egypt,91,RW,IF,625K
Manchester Utd,Bruno Fernandes,Premier League,Portugal,91,CAM,PL,POTM
Real Madrid,Karim Benzema,LaLiga Santander,France,91,CF,SIF,140K
Manchester Utd,Bruno Fernandes,Premier League,Portugal,91,CAM,Headliners,1.53M
FC Bayern,Joshua Kimmich,Bundesliga,Germany,91,CDM,SIF,339K
Atlético de Madrid,Luis Suárez,LaLiga Santander,Uruguay,91,ST,Player,Moments
Piemonte Calcio,Paulo Dybala,Serie A TIM,Argentina,91,CF,Player,Moments
Liverpool,Andrew Robertson,Premier League,Scotland,91,LB,TOTY,Honourable
Lazio,Ciro Immobile,Serie A TIM,Italy,91,ST,TOTY,Honourable
Dortmund,Giovanni Reyna,Bundesliga,United States,91,CAM,FUT,Future
Rennes,Camavinga,Ligue 1 Conforama,France,91,CM,FUT,Future
Dortmund,Giovanni Reyna,Bundesliga,United States,91,RM,FUT,Future
Chelsea,N'Golo Kanté,Premier League,France,91,CDM,What,If
Paris SG,Kylian Mbappé,Ligue 1 Conforama,France,91,LW,CL,MOTM
Spurs,Joe Hart,Premier League,England,91,GK,Flashback,SBC
Real Madrid,Casemiro,LaLiga Santander,Brazil,91,CDM,SIF,151K
Liverpool,Virgil van Dijk,Premier League,Netherlands,90,CB,Rare,114K
Liverpool,Mohamed Salah,Premier League,Egypt,90,RW,Rare,124K
Liverpool,Sadio Mané,Premier League,Senegal,90,LW,Rare,98K
Liverpool,Alisson,Premier League,Brazil,90,GK,Rare,92K
Paris SG,Kylian Mbappé,Ligue 1 Conforama,France,90,ST,Rare,619K
FC Barcelona,ter Stegen,LaLiga Santander,Germany,90,GK,Rare,91.5K
Real Madrid,Thibaut Courtois,LaLiga Santander,Belgium,90,GK,IF,169K
Real Madrid,Sergio Ramos,LaLiga Santander,Spain,90,CB,IF,170K
FC Barcelona,ter Stegen,LaLiga Santander,Germany,90,GK,CL,91.5K
Liverpool,Alisson,Premier League,Brazil,90,GK,CL,90K
Liverpool,Sadio Mané,Premier League,Senegal,90,LW,CL,100K
Liverpool,Virgil van Dijk,Premier League,Netherlands,90,CB,CL,118K
Liverpool,Mohamed Salah,Premier League,Egypt,90,RW,CL,130K
Paris SG,Kylian Mbappé,Ligue 1 Conforama,France,90,ST,CL,624K
Real Madrid,Karim Benzema,LaLiga Santander,France,90,CF,IF,124K
Napoli,Kalidou Koulibaly,Serie A TIM,Senegal,90,CB,UEL,Live
FC Bayern,Manuel Neuer,Bundesliga,Germany,90,GK,IF,188K
Paris SG,Kylian Mbappé,Ligue 1 Conforama,France,90,ST,,0
Manchester Utd,Bruno Fernandes,Premier League,Portugal,90,CAM,TOTGS,750K
FC Bayern,Joshua Kimmich,Bundesliga,Germany,90,CM,TOTGS,167K
Real Madrid,Casemiro,LaLiga Santander,Brazil,90,CB,FUT,Freeze
Dortmund,Erling Haaland,Bundesliga,Norway,90,ST,Bundes,POTM
Real Madrid,Raphaël Varane,LaLiga Santander,France,90,CB,UCL,Live
Real Madrid,Casemiro,LaLiga Santander,Brazil,90,CDM,IF,127K
Lazio,Sergej Milinkovic-Savic,Serie A TIM,Serbia,90,CM,Headliners,SBC
